title,story_line,you_tube_trailer_url,poster_image_url,release_date
A-X-L,"A.X.L. is a top-secret, robotic dog who develops a special friendship with Miles and will go to any length to protect his new companion. ",https://youtu.be/--8nr2kt4uk,https://upload.wikimedia.org/wikipedia/en/6/6b/AXL_Official_Poster_2018.png,"24 August, 2018"
Tau,"A woman is held captive by a scientist in a futuristic smart house, & hopes to escape by reasoning with the AI that controls the house. ",https://youtu.be/hYPqaGW0Uno,https://upload.wikimedia.org/wikipedia/en/d/d5/Tau_poster.jpg,"June 29, 2018"
Automata,Jacq Vaucan investigates robots violating their primary protocols against altering themselves resulting in profound consequences.,https://youtu.be/Wh_wmaOZcWo,https://upload.wikimedia.org/wikipedia/en/6/65/Automata_poster.jpg,"17 October, 2014"
Extinction,A father’s recurring dream of losing his family turns into reality when the planet is invaded by a force bent on destruction. While fighting  he realized an unknown strength to keep them safe.,https://youtu.be/-ePDPGXkvlw,https://upload.wikimedia.org/wikipedia/en/0/0d/Extinction.png,"27 July, 2018"
Stealth,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.",https://youtu.be/a2PW7a9ViDc,https://upload.wikimedia.org/wikipedia/en/5/5a/Stealth_poster.jpg,"July 29, 2005"
Maze Runner: The Death Cure,"Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"". Thomas, Newt, and Frypan are the last of the free ""Gladers"" immune to the Flare virus that has ravaged the world's population.",https://youtu.be/4-BTxXm8KSg,https://upload.wikimedia.org/wikipedia/en/e/eb/MazeRunnerDeathCureFinalPoster.jpeg,"26 January, 2018"
Maze Runner: The Scorch Trials,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles. ",https://youtu.be/SDofO3P2HpE,https://upload.wikimedia.org/wikipedia/en/d/d6/Maze-Runner-The-Scorch-Trials-Poster.jpg,"18 September, 2015"
The Maze Runner,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape. ",https://youtu.be/K1In45K0DGc,https://upload.wikimedia.org/wikipedia/en/b/be/The_Maze_Runner_poster.jpg,"19 September, 2014"
Pacific Rim,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",https://youtu.be/A85EtOalcsM,https://upload.wikimedia.org/wikipedia/en/f/f3/Pacific_Rim_FilmPoster.jpeg,"12 July, 2013"
Pacific Rim: Uprising,"Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat. ",https://youtu.be/8BAhwgjMvnM,https://upload.wikimedia.org/wikipedia/en/2/2e/Pacificrim2-poster.jpg,"23 March, 2018"
Interstellar,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival. In the mid-21st century, crop blights and dust storms threaten humanity's survival.",https://youtu.be/zSWdZVtXT7E,https://upload.wikimedia.org/wikipedia/en/b/bc/Interstellar_film_poster.jpg,"'07 November, 2014"
Gravity,Two astronauts work together to survive after an accident leaves them stranded in space. ,https://youtu.be/OiTiKOy59o4,https://upload.wikimedia.org/wikipedia/en/f/f6/Gravity_Poster.jpg,"11 October, 2013"
Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic. ",https://youtu.be/6Vu081NOorA,https://upload.wikimedia.org/wikipedia/en/1/14/Lucy_%282014_film%29_poster.jpg,"July 25, 2014"
Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone. ",https://youtu.be/34cEo0VhfGE,https://upload.wikimedia.org/wikipedia/en/a/a3/Prometheusposterfixed.jpg,"June 8, 2012"
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies. ",https://youtu.be/vw61gCe2oqI,https://upload.wikimedia.org/wikipedia/en/f/f9/Edge_of_Tomorrow_Poster.jpg,"June 6, 2014"
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO. ,https://youtu.be/YoHD9XEInc0,https://upload.wikimedia.org/wikipedia/en/2/2e/Inception_%282010%29_theatrical_poster.jpg,"July 16, 2010"
